Reviewer,Rating,Review Text
Ladee S.,5,"Loved this rendition of my favorite Disney Princess movie! Literal tears, Halle was phenomenal!"
Scarlett,3,"Ariel can sing.  The movie reminds me in cartoon.  Great job!  However,  I expected the girl with red hair, but there's no such girl with natural red hair like the cartoon."
Stephen,5,Loved everything about it!
craig,4,"This version was true to the original, I appreciated the new songs that were added, they were good and still in the style of the original soundtrack. The final scene was very intense and well done. CGI characters were not quite as lovable and comical as animated ones. We enjoyed the movie very much"
Candy,5,Loved it’s from beginning to end!
Deborah M,5,"Absolutely love, the story and animation have been close to my heart and to see it live send me into almost happy tears. A wonderful movie"
Kenyette,4,the 3d was a little blurry
Vanessa Graham,5,The cast was amazing and Lin Manuel is a pure genius with song writing. And Halle is Ariel!
will,5,"Well done story, beautiful CGI and acting, incredible perfomance by Halle Bailey! The Crab needs his movie clearly."
Coty,5,Why didn’t they hire someone with the accent for Sebastian? Also Awkwafina isn’t that good for her to be booking all these roles. Her voice is just grating.
Cortes,5,"Being a father who has had his child withheld from him, knowing with all your power yet feeling completely powerless, willing to give up anything just to make them feel safe. And the pain in knowing i will one day have to let my baby go It definitely got to me."
Erika W,5,It was a little tear jerker at the end.
DS,3,It was good but I wish it was more like the original version.
Alyah,5,Great movie. I love the change to the ending.
zabrielle,5,Very culturally diverse great graphics beautifully made. It captured my ninth month old daughters attention a great deal.
Natalie D.,5,"Halle Bailey's singing and acting was spectacular, loved the new songs written by Lin-Manuel Miranda. And, the Aator who played Prince Eric had the voice of a Angel. Loved the storyline and the costumes. The costume designer will definitely win several awards this year. I have already seen it 2 times (once in 3D). I plan on seeing it  again and again before it leaves the theaters. Love this Movie!!!"
Sha,4,One of the best movies everrrrre
john,4,cute movie with amazing visual effects
Charlotte Skiba,4,We were blown away! We absolutely enjoyed  all your services..thank you
Kathe,4,Overall loved the movie but the Ursela interactions were a bit scary for young kids. The little girl next to us put her blanket over her head!
Sandi S,5,The Little Mermaid was Fabulous! The movie just drew you into the show and what was happening to the Mermaid! Great Movie!
Tammy,5,Loved it!  It was perfectly made and depicted the original to a T!
Teresa,5,My granddaughter and I loved the movie.
deanladi U,3,Best part was Javier Bardem!! Didnt need all the extra songs by Eric. Way too long!!
Steffy,5,This movie is AMAZING!!! Brought me right back to my childhood!! Halle was INCREDIBLE and executed her role as Arielle PERFECTLY!!! Representation matters!!! Definitely a must see!!
LadySparkle,0,"Not what I was expecting, killed my fav childhood cartoon."
Tania F,5,I loved this movie. Definitely brought up memories of me being a child watching this movie with my parents. I  loved to see the diversity in all the characters presented in the movie. Amazing
Fredrick,5,Halle was born for this role. She absolutely killed it. The movie stuck true to the original story but provided a fresh and modern take. Melissa as Ursula was also more than I could’ve asked for! Job well done!
Google,5,Great remake Halle first time on the big screen did not upset!!
Karen,5,"really liked the special effects and the new song by scuttle, Ursula death was a little scary for young children"
Paola,5,My daughters love the move. Me either I cry like a baby remembering when I was young watching the mermaid
Lina L,3,"This new incarnation of  Disney favorite was beautifully made. The animations were colorful and vivid, although I could see why some could be put off by the realistic animal depictions. Flounder doesn't look as cute and childish here, but the spirit of the story is still there. Hailey Baley has an amazing voice and did justice to the lyrics and songs of the past. Prince Eric was perfectly cast, as he looked like someone just used AI to humanize the cartoon version. 
Melissa McCarthy rocked as Ursula.
Great experience at the theater and only adds a different and rich dimension to the classic cartoon version."
TERRY,5,Loved the movie from being and especially the end. Well made Disney
4hottcarz,5,"I loved the movie. The actors were great, the singing was magnificent"
Carolyn,5,"Thoroughly enjoyed it.  Kept my interest the whole time and the actors were fantastic, especially Halle Bailey and Melissa McCarthy."
Vanessa,5,The casting was absolutely incredible. A must see for the whole family!
Jennifer,5,"Wonderful story telling, great action, just a great movie for the whole family"
Tabitha P,5,Great cast. I’m was AWESOME
Kelondra,5,I loved the entire movie start to finish! The acting was amazing the music was wonderful it was just an overall great movie
Amairani,4,"It was sooo cute the CGI was crazy cool and the new songs Ariel sang were beautiful, I honestly prefer this new movie than the original."
Francine M. C,5,Wonderful movie.  I thoroughly enjoyed!!
Daynet,5,"Its a wonderful movie, makes me cry, at the end with her father scene,, very pretty and well performance and special effects."
Cheryl,5,Great beautifully done
LUNAR,5,"The movie was done well. Halle Bailey did phenomenal for her first acting gig and her voice is undeniable. The animation was pretty cool, it was an updated version of our classic Little Mermaid and they did the job. It was very nostalgic and also Melissa McCarthy is amazing as always. It did slightly have me at the edge of my seat when the action started to happen and my 5yr old little boy said he enjoyed the movie so plus plus from us!! CONGRATULATIONS HALLE!!!!!!"
Porsha,4,The movie was giving me original lion king vibes with the color and animation. I lovedit a lot!!!
Jasmine S,5,I loved everything about it! Melissa Mcarthy as Ursula stole the show
Stephen,5,Cinematography was outstanding as were the musical  performances.
CK,5,Great performances and fun to watch.
Elizabeth,5,"We enjoyed it! Loved the comedic tone Ursula, Sebastian and Scuttle. Well done for a Disney live action."
Dana,5,I loved the diversity of the characters and how closely it matched the original movie.
David,4,"Richly colored, good storyline generally, nice entertainment for a few hours.  Movie was a bit long, though!"
Palmerin,2,Love Disney movies but the singing was subpar
Bryan,5,I loved it it was funny special effects were awesome very beautiful colors all throughout the movie kept you watching the screen highly recommend watching it
Kimberly,5,"Enjoyed the movie very much! It entertained various ages, had wonderful music, and well casted roles."
Michael,5,took my grandmother to see it since she always put the original on for me as a kid and it was just a great time
Yaryna,5,"It was a beautiful movie, I was thoroughly engaged emotionally. I am glad new generations will grow up with this film."
Nancy,5,Omg i loved everything about this movie it was fabulous.
Nora,5,Second time watching the little mermaid. This time was in 3D and i loved it even more than the first time! I thought i’d bought 4DX tickets but I guess not. I’ll have to watch it again in 4DX. Definitely a must see!
Jessica,5,Excellent movie. I was moved by Halle Bailey's performance. She was the perfect choice. All of the cast did a wonderful job.
Joann G,5,"Loved it. Wasn’t sure how it would compare to the original, but it was (date I say) better. Loved all the additions."
Nichole,3,"The under the sea song was botched from the original. They didnt improve on it like they have in other live remakes and instead they took away the amazing full choir feel of it. Halle was great as little mermaid and I loved that some things were clarified in the live version like the sirens voice and how Ariels friends are helping her to get true loves kiss etc. But the climax was ruined for me when Ariel had to be the one to kill the sea witch instead of Eric in the original. To me this would have tied it all together to show Triton that not all humans are bad and that they worked together. Overal I felt the movie was meh and could have really blown some things out of the water but as usual per lately, they are missing the mark."
Kimberly,5,Loved it!!  Action packed and just a great movie.
M.Elena,5,My daughters and I enjoyed every minute of this movie
Camille M,5,Excellent performance by Halley Bailey
Darrius,4,The little mermaid captured all the emotions of the original and brought them to real life. Halle Bailey not only had the singer chops but the actress chops. She gave real life Disney princess and made the move spectacular.
Tnb,1,The story was too drawn out and the characters were completely different from the original. Would not recommend at all. Its a movie you can watch at home when it releases.
Disney Fan,5,"Very sweet telling of an old Disney movie. Loved Halle Bailey! It also had a Bridgerton feel - several supporting actors were familiar. All in all, great movie for the whole family."
Kimberly,5,this movie was very entertaining for children and adults worth every penny I spent on my family this weekend.
MeMe,5,Great movie!! Must see! I think it was beautifully adapted to live action!
Aolani,5,such an awesome movie!!
Kathrin,1,"they did put effort to make the movie, but my daughter lost interest in the first 15 mins. we laughed in some parts but over all, nothing special. So sorry for the actress but I prefer my original red hair beautiful Ariel"
semaj r,5,"Disney did an excellent job remaking this movie. 
My whole family enjoyed it. Disney modernized it without going post pandemic crazy."
Ketih E,5,One of the best remakes Disney has done! Very entertaining and shed a tear at the end 🥲My daughter and I enjoyed it!
Anastasia,5,"Great movie, Disney did Great job. Beautiful ❤️❤️❤️"
Cherry L,5,Absolutely amazing. The show was so well done… I would definitely watch it again.
Cody,5,Amazing movie! The animation was outstanding
Google,5,Well worth watching! Best remake of a Disney Movie!
Earlee,5,"It was beautiful! The ocean colors, entire location sceneries was simply gorgeous! The singing, humor, and the positive storyline.  I loved all of it!!"
maddi,5,"SO WELL DONE! Halle was incredible, and she brought so much the role and movie even when her voice was gone. GREAT FILM!"
SH,5,I thought it did justice to the original and the singing was awesome!
Alexander,5,It was a great and was a politically free movie.
Sonya,5,This is really a movie for kids to see they will really enjoy it very much my kids loved it and wants to go back to see it again.
Little Mermaid forever fan,5,"Loved the animation and the realness of the movie vs the old movie. Great songs, great actors. It is a must see for the entire family."
Google,1,The movie was okay. It wasnt what I expected it to be.
Miriam,5,Awesome movie! We loved it so much. Ariel was incredible and oh what an amazing voice. We just loved every single minute of it. It was so colorful and my little one enjoyed it
Yulonda,5,I loved everything Halle was amazing as well as the reat of the cast. It was exciting and fun to sing along with
Erin,5,It was great! It made me feel like a kid again and feel all of those nostalgic feelings. It was my daughters 1st movie and we watched it with Nana! They did a perfect job.
Stephanie G,5,liked the diversity of the characters
priscilla,5,I loved it so much it was so beautiful though the lighting was a bit too dark at times the movie was still amazing! I can’t wait to watch it again!!!!! Love Halle and Jonah’s performance and I’m hoping for a sequel!!! 💙
Chesley,3,"It was good. Loved the music, & that Prince Eric had a song.  This version has Ariel calling King Triton ""father"" instead of ""daddy"" & they omitted the line ""But daddy, I love him!"", which is a bummer.  Also when daddy destroys her treasure trove, instead of clutching Prince Eric's face from the statue, she clutches his hand.  I thought they could have stayed truer to the wedding, as well. But I liked it, & my grand babies liked it!"
Dan,5,Much much better than the critics would have you believe. Everyone gave a fantastic performance. 5/5.
Mark,5,"Outstanding acting, and singing.
Special affects were amazing"
Tannya,5,"The movie was great, interesting and funny. I loved it. This a great movie for the family."
donna s,4,Overall liked the movie a little boring and drawn out in the middle.
Lacy,5,We loved it! One of the best family movies we have seen in a long time! The characters and theatrics were amazing!!
Ruth,5,"This movie was an emotional ride, and I was enjoyed every minute of it."
Lina,5,It was awesome and it just made me remember how magical it was to see the original little mermaid
Cameron,4,I loved the movie 😍
Jen,4,"Followed the original movie, and the animation was amazing! Loved it!"
Angela,3,I didnt like how the order of things was switched up. I didnt like how Eric didnt seem like a prince and they changed so many characters. I didnt like the changes of songs and the added rap song. I did however enjoy Ursula and thought Melissa McCarthy was amazing. There were a few added scenes that were funny that I enjoyed. Overall it was okay but definitely wasnt my favorite Disney remake.
Justin,1,Row E seat 17 doesn’t recline. The movie was amazing but we paid for a recliner seat and it doesn’t work
Gwen,5,It was very cool to see the real people interacting with the computer generated characters.
Kim K,5,The lessons throughout the movie and Halles raw talent.
AC,5,"The Little Mermaid 3-d animation was beautiful.  The movement of sea life during Under the Sea was beautiful.  You could see the dedication and collaboration with the Alvin Ailey Dance Troupe. The signing was wonderful. Ursula was the ultimate villain. Kiss the Girl was true to the original. Great vision, great production."
Barrett,5,Halle Bailey was superb and has a wonderful voice. Realign an animation mix was excellent. Brought a tear just like the original movie.
Tiffany Tierra,5,Awesome awesome. Halle we love you.
rachael,5,This movie was excellent! Quality animation and chole is a star! Everyone did a great job keeping it familiar but brought something new to it. Great watch
Nick M,5,I loved it! Run to see it!
C,4,"Overall it was good, mostly stuck to the original movie. Felt more adult than kid movie. Took 4 year old and she liked it, but some of the witch scenes could be frightening to younger kids."
jesse a,0,That was the worst Disney movie Ive ever seen.
Ronald Valle,5,"Very entertaining movie, visually stunning, great acting and great music. Not disappointed at all. Would definitely recommend."
Valerie,5,Fabulous and heartwarming
Dee,5,"3D was awesome, great choice of actors and voices to play the characters in the story. Time well spent."
Karen,5,"Loved  The Entire Movie  
I just didnt like that they didnt have Many 
Little Mermaid Buckets  to Buy. 

They are Beautiful 
But Sold Out."
Joseph,5,She was marvelous as good as it gets
Karen Landry,5,Beautiful and wonderful movie
tatertot,4,Sent out a great message on equality
Emily veytia,5,Amazing movie! Brings back childhood memories.
Jon,3,"Too long, not good for younger kids"
Raylord84,2,"I liked Melisa McCarthy, Halle Bailey over acted. Too much singing."
Autumn,5,5 stars doesn’t even begin to say how much I loved this movie.  It broke the star rating by a long shot!  A must see indeed!
Vicki T,5,It was beautifully made and extremely entertaining.
Iris B,5,This adaption of the Animated version of  “The Little Mermaid was absolutely the best live action adaption Disney has done in a long while. Halle was simply awesome her voice is God’s gift to her and us. The whole cast  and cinematography was top notch. Kudos to Rob Marshall and Lin Manuel Miranda for their insight and daring to bring this film to families all over the World. Thank You !
Rachel,4,"We loved the movie, it was a great remake.  The effects for 3D were fun and the new music was nice.  Scuttle the seagull stole the show!  Ariel was wonderful and so was Eric, a lovely match."
Kelly,5,This is an Excellent live action remake of the original animated movie!
Khaliya,5,"If you’re a little mermaid fan you’ll enjoy it, Halle did a wonderful job as Ariel."
Victoria,5,Made me cry and my daughter was so into it. Disney really nailed it here.
madonna,5,i like everything about it
Augustine,4,I loved everything!!
Jessica C,5,"LoveTrue to the original little mermaid story. Great cast. The CGI may not haves been at its best, especially for Disney, but overall pleased."
Kady,5,"Absolutely loved Halle as Ariel, her voice was beautiful and she captured Ariels sweet and innocent personality. I loved the chemistry and bond they built between her and Eric that the animated version was lacking."
Yanina L,5,Great movie! Love this Disney princess! Loved her voice it was so beautiful
Andrew,5,Me and my daughter loved it!!!
Kaelyn,5,I liked how life-like it was.
Susan,5,"Movie was done well, really enjoyed it."
Katherine,5,Fantastic! Ariel was kind and ambitious! Prince Eric was a dream! And Sebastian is amazing and hilarious! The only thing I disliked the name change of the sisters! Should of kept it all As haha
Suzanne R,5,Great family movie!  Enjoyment for any age.
Joey S,4,Really great adaptation of the original. Casting was fantastic!
Moneki,5,Beautiful animation and the singing is unmatched
J,5,"The original was oh so special and this remake is even more magical! The music, the lighting affects, the fabulous acting, the humor and especially the live action sea creatures and birds made me want to sing myself. This is a beautiful production!!"
Mike,1,Not worth going to the movies for.
Latika,5,WE ABSOLUTELY LOVED IT!!!!!♥️♥️♥️♥️♥️
Love the movies,4,As an adult I thought it was good. The scenes and special effects were quite amazing. Melissa McCathey was outstanding. Kids loved itespecially the girls.
Diana K.,5,Amazing!!!! So so well done! The way they incorporated different cultures was perfection. Must see!
Christa,5,"Beautiful movie, great cast!"
Francis  P,4,Halle Bailey was born to play Ariel. Thye whole cast was awesome. I got caught up emotionally in the story and it never let up.
Nikki,5,Halles voice was otherworldly and I was pleasantly surprised by her acting. A nice variation on the original.
Frank C,5,well done and the effects and colors were great...
lalo,5,very emotional and pretty spot on to the first original little mermaid
Orico M,4,"Looking at this movie objectively, it was a good movie. as someone who thoroughly enjoyed the cartoon, this adaptation is good. it's not scene for scene and it has more songs added to it, but it's ok. The singing was great, and my daughter didn't fall asleep. (always a plus)"
Holly,5,Incredible.  The music was fantastic. The actors were well chosen.
LINDA,5,Excellent movie for adults nd children!
Moe A,5,This was a beautiful remake. Halle Bailey and Melissa McCarthy really made this movie. I thoroughly enjoyed it.
Trisha,5,"Love love, great job. Nice to sing all the old songs with my daughter!"
Google,5,"Wow, I will be back this Saturday to see it with my Son. Just awesome!"
Amanda,5,Great movie! I cried 3 times. Brought me back to the very first time I saw the animation
Elizabeth,5,"It was such a great movie! The acting, singing & side effects might watch again"
Jennifer,5,"I really liked how this went a bit more into detail with Eric and Ariel yet was funny and entertaining for my kids 4-15! Ursula was also terrifically  cast and performed, my kiddos were fine and liked her (they are easily scared too)- just a reminder shes there and not all kids are into villains but we all thought she was wickedly wonderful! Cant wait to buy it when it comes out!"
Christopher C,4,Very good and great special effects everyone loved it
abby,5,"Very true to the original animated movie, minus a few new songs and new scenes. Beautiful animation and overall delightful movie."
Annette,5,My girlfriends and I loved this movie.  The digital art use for this film was amazing.  The underwater scenes were so well done and realistic.  I would love to see how they made this film. Melissa McCarthy was fantastic as the sea witch. Halle Bailey was a perfect Ariel and her voice was beautiful.  We plan on going back to see it in 3D next week. Congrats Disney on another amazing hit.
Nikki,5,Very sweet and funny with a beautiful voice
JC,5,"This was a great movie, I especially loved Halle Bailey as Ariel! Definitely a must see"
Jamie R,5,Loved how this stayed mostly the same as the original! Great movie!
T,5,I loved everything about the movie
Wayne T,5,"Started slow, but picked up and very true to story. The story line was exactly new and carried very well. Love it. Hope there is second part?"
EKB,4,Loved the cast and the fact it was live action. Very well done.
Nancy F,5,"A tremendously moving and heartfelt movie showing sentiment, romance, a little bit of danger and meaningful feelings and intermixed with fantasy elements.  Walt Disney would be incredibly proud on his 100th anniversary for this movie to become live action even though the cartoon version was very good.  The music, singing, songwriting and songs were so wonderful and Im glad that they were preserved from the original cartoon release version."
Terrence,4,"I loved this, my 9 year old daughter looked at it with such admiration in her eyes to see a girl that looks like her in a main role in a fantasy movie."
Stz Fam,1,"Good cast and singing talent, overall not as entertaining as expected, skip the 3D experience, not worth it. Original is best."
Kennetta L,5,Loved it!  The storyline was pretty much like the classic animated movie.
Susan,5,Loved the acting and the songs
Leidy,5,I love it !!! Nice movie
Cynthia,5,"I LOVED this movie, I feel it was better than the animated version of the little mermaid."
Tiffany,5,Really liked this live action version. It had some new things in it that the original didn’t and I enjoyed that.
Kenneth G,4,Well-produced movie with excellent special effects. Good human and voice acting. Recommended for slightly older children because little ones may get impatient with the love story.
Maddie B.,5,"This movie is a beautiful new take on the original, and the scenery, acting, cinematography and everything in between are all incredible! I cried, I laughed, and I was smiling the whole time. 10/10, would recommend!!"
Nancy W,5,The movie was perfect!
Sheri,5,Great movie.  I cried and so did my sister.  The scene where her Dad let her go.......oh how touching!!
ashlie  H,4,I loved the two leads and the music!
Ms Michelle C. Allen,5,What a beautiful movie to see. I loved it!!
Geneva,1,The visual was very dark and could have been brighter.
Brad F,4,Familiar and true to the original Disney version but fresh and enjoyable. Amazing integration of live action and animation. It is definitely worth seeing.
JPV,3,too long. new attempts at the original songs didn't match up.
Aizan D,5,It was a fresh spin on a beloved classic. The theme and setting were perfect for the storyline. Loved it.
Jesus C,5,"Halle Bailey was truly spectacular as Ariel, loved it!!"
Kendalese Rose,5,There was nothing to dislike the movie was phenomenal. We have an awesome time out this afternoon.
Ester H,5,"I loved the new spin on the live action of the character and the movie, I can't wait until I can buy it and add to my collection"
Patricia,2,"Slow needed different Ariel, Eric and Queen.  Seawitch stole the show.  Didn't need a rap song."
Kelly,5,The visuals were amazing & the expounding on the storyline was great!
"Trish
Trish
Trish",5,"Loved this movie, better than expected."
Chelsea,5,My daughter loved this movie! I recommend to all parents.
Kerri M,5,"Loved the movie, didn't feel like it was 2 plus hours long. Just beautiful."
Mark,5,Love the movie. Happy tears at the end.  Movie was a little too long for my 4 year old granddaughter.
Mom of 3,5,"This movie was fantastic! The Little Mermaid was one of my favorite movies as a little girl, and they did it justice and then some! The visuals were amazing, Halle Bailey was EPIC, and Daveed Diggs was FANTASTIC! The original songs by Lin-Manuel Miranda refreshed the classic and made it relatable. I want to see it again!"
JC,5,Great family movie. Loved Ariel !
Brittany,5,"The changes made add to the overall story in a positive way, they managed to give both Ariel and Eric more character depth, and everyone in the film nailed their roles."
Kevin Singleton,3,The movie was pretty good. My only issue was the casting. Eric looked twice Ariel's age lol
Doug L,5,As good as the original classic
Jacqueline,5,"Prepare to be swept away on a breathtaking journey beneath the waves as Disney's latest cinematic gem, The Little Mermaid, captivates audiences with its timeless charm and visually stunning cinematography. This enchanting adaptation of the beloved classic tale breathes new life into the depths of our imagination, reminding us of the magic that lies within us all.

One cannot help but marvel at the impeccable cinematography that transports viewers to an underwater wonderland. From the vivid coral reefs to the ethereal mermaid kingdom, every scene is crafted with such meticulous attention to detail that it feels like a living, breathing work of art. The vibrant colors, the fluid movements of the characters, and the awe-inspiring visual effects make it an absolute delight for the eyes. Director Rob Marshall's vision is brought to life with such finesse that it is impossible not to be completely immersed in this fantastical world.
But beyond its stunning visuals, The Little Mermaid delivers a powerful message that resonates deeply in today's society. It dares to challenge the prejudices that persist in our world, reminding us of the importance of acceptance, inclusivity, and celebrating our differences. The casting of Halle Bailey, a phenomenally talented young African-American actress, in the role of Ariel is a bold and progressive move by Disney. Bailey's portrayal of the iconic mermaid is filled with grace, strength, and undeniable talent, shattering stereotypes and proving that diversity can only enrich the storytelling experience.
It is disheartening to see some individuals succumb to prejudice and racism, expressing their displeasure at a beautifully diverse cast. However, it is important to acknowledge that this new rendition of The Little Mermaid is a reflection of the world we live in, celebrating the diversity that exists in our society. Rather than dwelling on such negativity, let us applaud the film for its willingness to break barriers, inspire young minds, and foster a sense of unity among its viewers.
The music in The Little Mermaid is another standout aspect that deserves praise. The timeless melodies that have become synonymous with the original animated film are reimagined and beautifully reinvigorated. The talented cast, led by Bailey, delivers powerful vocal performances that breathe new life into these beloved songs. It is an auditory treat that will have you singing along and humming the tunes long after you leave the theater.
Ultimately, The Little Mermaid is a cinematic triumph that seamlessly weaves together stunning visuals, a diverse and talented cast, and a poignant message of acceptance. It reminds us that our differences should be celebrated, not feared. This film has the power to ignite conversations, inspire change, and leave a lasting impact on audiences of all ages.
Let us embrace the magic and wonder of The Little Mermaid, and let its powerful message serve as a reminder that love knows no boundaries and that our world is at its best when we stand united, celebrating our diversity."
Jennifer S,5,"A heart-warming, family-friendly musical that celebrates diversity, forgiveness, and understanding. Some scary moments are not for small children."
Charmaine,5,It was excellent! Very realistic. There were a couple of changes from the cation version. But it really lived up the the hype. Chloe’s singing was the highlight. That lady has some pipes on her.
Jocelyn,5,"FANTASTIC MOVIE! I really did not know what to expect, but this is by far the best Disney remake. Perfect casting!!! Go and watch, you will not be disappointed."
Breana,5,I love it so much. Halle did her thing.
Ta'Neika B,5,Halle and the entire cast did an amazing job with this film. I really enjoyed TLM!
Kat,5,The casting. The scenery. The music. All amazing!!! A must see 💜🩵🧜‍♀️
Shaqira,5,I loved the spin on this classic movie. The characters were amazing!
Zack S,5,Pretty good Movie not a must see for me. But I babies enjoyed it!!! I’d watch it again
Sondra,5,"The movie is beautiful from start to finish. The quality of the acting, the cinematography, the songs ... everything was perfection!"
Samantha,5,Absolutely loved it!! Beautiful scenes.
Nay & Kenny,5,We really enjoyed this remake! Loved how they didn't deviate from the original script. I think they did a great job! Thumbs up for my family and I!
Samantha,5,Good movie that was same as animation but had different scenes at time.
Liana  W,5,"I loved the story, the music, all of the characters. It was beautiful!"
Nina,5,Ariel was so pretty and sounded beautiful! We loved the movie!
Tracy,5,"Great movie, the original details"
CHRISTINA,5,"The movie was awesome,  beautiful graphics"
Michelle,5,"The animation and colors were amazing.  I took my 4 yr old granddaughter.  She got scared,..we left a bit early."
Christina H,4,"The animation, music and story were all amazing."
SARA,5,"Keeps a lot from the original animated film, but also expands on some things and changes it up just enough to keep it exciting and from being an exact copy of the original film. Very fun movie, great music, and beautiful visuals. Great for fans who grew up with the Little Mermaid and young kids just being exposed to Ariel."
Sharee,5,Sooo awesome really great seeing the diversity
James C,5,My wife and I loved it! A fun movie for all ages!
Edward  C,5,my nices love the movies
Shana,4,Little details that made movie special and different from original. Great singing by Ariel. Good humor
Andrew,4,it was pretty much a scene for scene remake of the cartoon movie.
Jennifer A,5,So adorable  brought back so many wonderful memories watching it as a kid! Loved the add on original songs as well! Loved it!
Flor,4,AMAZING MOVIE! MUST SEE
ajia,5,"i absolutely adored the movies, the characters, the songs, the way they played the part was all amazing!"
Shona M,5,"Really good! Great visuals and Halle was amazing. Loved how you could see so much emotion in her facial expressions, she really brought you in. Now I want to live under the sea lol."
Robert G,5,Excellent movie.  Our family loved it.
Tanisha,4,Halle did an amazing job!! And Melissa McCarthy was amazing as well!
kendondoris,5,"My wife claims it’s better than the original, but as someone who was raised in the 90s I would say there equally matched."
No Name,5,It was a really great movie. The music and the looks were really well done.
Alison,5,"I absolutely loved it and the bar was high for me since I saw the animated version in theaters when I was five. Halle was incredible as Ariel, and Eric, Scuttle, and Flounder were all standouts I did not see coming.  Again, I am just completely blown away by Halle. She was perfection."
Megs,5,Best remake Ive ever seen!  I absolutely loved it!!!
Fresia,5,it was incredible! halle was spectacular and nobody and i mean NOBODY couldve EVER played the little mermaid better. she brought her to life. i LOVED this movie
Shayla Davenport,3,"I dont like that Ariels hair was not red lol 
Thankfully it didnt ruin my fav childhood movie because it follows a different flow. 10/10"
julie  M,3,"Too too long, lacked the magic that you'd expect. Visuals are cool, and Haile is beautiful and lovely voice. Kids in theater  were BORED!"
Llana,5,Wonderful experience
Musicellie,5,"Beautiful flowing and colorful story that draws you in ! The characters are so real to us! The caring but overprotective father, curious adventurous lovely Ariel and her best friends Sabastian the crab and the bird who keep us laughing!!  This new version will keep every age person entertained and is by far the best!"
Tania,5,The movie was made for todays audience and reflected what our society truly looks like. The music and cast was great!
Aaron Bacchus,5,"I've waited years to see this. I wasn't disappointed. Loved it !! Great Acting, Awesome Script, Amazing Directing"
Erving D,4,"A very well made adaptation of the original. If you've liked the other live action Disney remakes, you'll love this one just as much. Halle did a fantastic job as Ariel"
Jordan,4,"This movie is stunning visually and the cast is brilliant. I watched it with my 6-year-old the first time and it did not go well due to the movie length. However, went and saw it a second time just by myself and it was incredible! Cannot wait to watch again."
Romona,5,"Haileys performance was absolutely incredible.  I cant speak enough about how she connected to the audience with her beauty, inquisitiveness and talent.  I also LOVED the fact that the movies was very inclusive and diversified.  Representation of what the world really looks like."
Lisa,5,Liked the beautiful colors  in the sea and the story line
camille s,5,"The movie was excellent , I really enjoyed myself"
Mona,5,AMAZING AMAZING AMAZING!  I couldn't help but tear up at part of your world. Halle handled this with such grace and beauty simply stunning. her voice is indescribable. the cultural blending of characters spot on.. how we should live in this world
Lolo G,5,Awesome storyline and graphics
Thomas  R,5,Was Soooo good and sooo Disney Well Done
Allison,5,I loved what they did with this! I grew up with the original (one of my favorites) and I was worried. Both me an dmy 9 year old ending up LOVIING it!
