제목,평점,내용
An insult to the orignal,3,"This movie just wasn't good... They added something like 50 minutes but it didn't improve the movie one it, it only made it drag on.

The CGI is poorly done and the tone of the film is dark and gloomy, not bright and colorful as it should be.

The animal characters look terrible. The changes to the songs are ridiculous, the original lyrics weren't problematic in the slightest.

Scuttle's voice is really jarring and the added song is just bad.

The changes made to the ending make the story worse, not better. They didn't need to make Eric weaker to build up Ariel.

The best thing about the movie was Ursula. At least they didn't ruin her."
Halle Bailey deserves the world,10,"352 out of 1,689 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Original is Better,6,"The Little Mermaid (2023) is a live-action adaptation of Disney's 1989 animated classic, which was loosely based on the fairy tale by Hans Christian Andersen. The movie follows the story of Ariel, a curious and adventurous mermaid who falls in love with Prince Eric, a human she rescues from a shipwreck. To be with him, she makes a deal with Ursula, a wicked sea witch who takes her voice in exchange for human legs. Ariel must win Eric's heart before the time runs out, or else she will lose her soul to Ursula.

The movie is directed by Rob Marshall, who has previously helmed musicals such as Chicago, Into the Woods and Mary Poppins Returns. The screenplay is written by David Magee, who also worked on Finding Neverland and Life of Pi. The music is composed by Alan Menken, who returns to score the film and write new songs with Lin-Manuel Miranda, the creator of Hamilton and Moana.

The cast of the movie features newcomers and veterans alike. Halle Bailey stars as Ariel, making her feature film debut after being discovered by Beyoncé and appearing in the musical duo Chloe x Halle. Jonah Hauer-King plays Prince Eric, a British actor who has appeared in TV shows such as Little Women and World on Fire. Melissa McCarthy portrays Ursula, the iconic villainess who has a penchant for collecting souls and singing showstoppers. Javier Bardem plays King Triton, Ariel's father and the ruler of the underwater kingdom of Atlantica. Daveed Diggs, Awkwafina and Jacob Tremblay lend their voices to Sebastian, Scuttle and Flounder, Ariel's loyal friends and sidekicks. Noma Dumezweni plays Queen Selina, Eric's mother and a new character created for the film.

The movie aims to modernize the classic tale for a new generation of audiences, while staying faithful to the spirit of the original. The movie features new scenes and characters that explore the cultures and backgrounds of Ariel and Eric, as well as their relationship and motivations. The movie also updates some of the songs and dialogue to reflect more contemporary sensibilities and humor.

The movie is a feast for the eyes and ears, with stunning visuals and catchy tunes that will enchant viewers of all ages. The movie showcases the beauty and diversity of the ocean world, as well as the charm and splendor of the human realm. The movie also boasts impressive performances from the cast, especially Bailey, who brings a fresh and captivating take on Ariel. She sings with grace and power, expressing Ariel's longing and joy with every note. McCarthy also delivers a memorable turn as Ursula, who is both menacing and hilarious in her schemes and songs.

However, the movie is not without its flaws. Some of the changes made to the story may not sit well with fans of the original animation or the fairy tale source material. Some of the new scenes and characters feel unnecessary or underdeveloped, while some of the old ones are altered or omitted for no apparent reason. The movie also suffers from some uneven pacing and editing, as well as some questionable choices in cinematography and visual effects. Some of the creature designs are also less than appealing or realistic, especially compared to other recent Disney live-action remakes.

The Little Mermaid (2023) is a fun and entertaining musical fantasy that pays homage to its beloved predecessor while adding some new twists and flavors. It may not be perfect or groundbreaking, but it is a worthy addition to Disney's live-action canon that will surely delight fans old and new."
My daughter was bored to tears,1,"I took my seven year old to see this last night and she was fine for the first half hour or so and then she became really bored with it. After about an hour and 20 minutes she was asking if we could leave and do something else, that's not a good sign when even young girls don''t like this film.

From my own personal point of view, the film is way too long for kids, the songs are borderline horrific, seriously, whoever thought putting a rap song in a film like the little mermaid was a good idea needs to be sectioned, talk about butchering a classic film score.

The special effects, all I can say is, how has a film with a budget this big been made to look so poor, some of the underwater scenes look like something from a playstation 2 cut scene, they're awful.

The animal characters in this, Scuttle, Sebastian and Flounder are dreadful, they look freaky, not cartoonish or charming, not even realistic, just weird and odd and they really take you out of the film whenever they're on screen.

The performances are fine, no one in this is terrible but the script and the songs they're working with are so sub par that anyone would struggle with it.

I remember, even as a young boy, watching the original Little Mermaid and being absolutely mesmerised by it, where as this one, is dull, boring and lifeless and not just my own daughter, but other peoples kids in the cinema were fidgeting, squirming and complaining at around the 90 minute make of this.

It's far too long to keep most kids entertained and it's not pretty or charming enough to hold their attention for any length of time.

Save your money and take your kids to a theme park or an activity center, they'll have a much better time."
"""A Catastrophic Mess: A Disastrous Movie Experience""",1,"This movie was an absolute catastrophe from start to finish. I can confidently say that it was the most mind-numbing, soul-sucking experience I've ever had the misfortune of enduring. From the lackluster plot to the abysmal acting, every aspect of this film fell flat on its face.

The storyline was an incoherent mess, leaving me bewildered and struggling to make sense of what was happening on screen. It seemed like the filmmakers had no idea what they were trying to achieve, resulting in a jumbled mess of disjointed scenes that failed to engage or captivate the audience.

To make matters worse, the performances were nothing short of abominable. The actors seemed like they were sleepwalking through their roles, delivering their lines with zero conviction or emotion. I couldn't help but wonder if they were as bored and uninterested as I was.

The special effects were laughable at best. It's as if they were created using outdated technology from two decades ago. The CGI was painfully obvious, and the practical effects were executed so poorly that they looked downright comical. It was impossible to suspend disbelief and immerse myself in the world of the movie when everything looked so cheap and amateurish.

Furthermore, the dialogue was cringe-inducing. The scriptwriters must have been having an off day, as the lines were cliché-ridden and uninspired. I found myself rolling my eyes at the predictable and unimaginative dialogue that permeated every scene.

Finally, the ending was the ultimate insult. After enduring an excruciatingly boring and confusing plot for what felt like an eternity, I was met with a conclusion that left me feeling cheated and robbed of my time. It was a cop-out, lacking any semblance of resolution or satisfaction.

In summary, this movie is an utter disaster that should be avoided at all costs. It failed to deliver on any level, leaving me frustrated, disappointed, and regretting the moment I decided to give it a chance. Spare yourself the agony and seek entertainment elsewhere."
Presents a captivating visual spectacle,8,"The underwater adventure presents a captivating visual spectacle infused with the melodious talents of Ms. Ariel, portrayed by Halle Bailey. The live-action adaptation of The Little Mermaid is a stunning production that impeccably captures the essence of the characters while incorporating a touch of uniqueness.

The initial scenes build up anticipation as every character is introduced, except for our beloved Ariel. The film skillfully incorporates Halle Bailey's enchanting voice in the background, staying true to the allure of the mermaid's siren song. Halle Bailey shines brilliantly, much like the sun reflecting on the ocean, with her gentle interpretation of the character. A delightful PG love story unfolds between Ariel and the Prince, one that is sure to captivate audiences.

Although Sebastian and Flounder appear more realistic than anything else in the film, the voice actors are well-cast, and Sebastian, in particular, brings a comical appeal to the story. The movie strikes a balance with ample drama and effectively utilizes music, ensuring that it feels like a complete cinematic experience rather than solely a musical. The songs are delightful and showcase the vocal range of the singers, including Ariel.

All in all, I thoroughly enjoyed watching this film, appreciating its diverse elements. Halle's portrayal of Ariel and her captivating appearance was genuinely stunning. It's a delightful experience for both the younger audience and families, as well as those who cherish a well-crafted Disney movie. I would give The Little Mermaid a rating of 4 out of 5 stars."
The cast gave it their all but without enough moolah it's doomed,6,"150 out of 374 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Simply Boring,4,"The Little Mermaid is a good example of what's wrong with Disney these days (at least in my opinion) - besides some casting choices that may rise pro and contra voices (I don't care), this movie is dead like plastic. The songs are stale and uninspired, the special effects department did okay, the actors did okay, but well, the formula of Disney movies is now a walking dead corpse, too many times chewed on. But this is not only a question of modern changes to fit to the taste of zeitgeist but for a long time Disney is like a recycling factory: with every turn of the machine the product gets worse and worse, at least if you don't add something new, fresh and substantial, something creative. So my greatest complain: the music is average, the visuals are average, the story is the typical Disney blabla, the entertaining factor is rather low. A typical movie made from the construction kit branded ""Disney"". But maybe I'm just getting old and grumpy and my by age weakened eyes and heart cannot see the beauty in this, well, product."
Absolutely brilliant. Definetly in my top 5 best Disney remakes of all time,9,"76 out of 366 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Good singing largely forgettable,6,"Pretty mid. Halle can really sing like wow she did amazing. But otherwise the movie is pretty slow and generic. Not sure why they added 45 minutes. Prince Eric has all the charisma of a mannequin, and he can't really sing. Ursula was pretty good. Javier Bardem was kind of just reading a script for two hours. Daveed Diggs was great as Sebastian. The cgi was pretty ugly and the movie was kinda dark. I guess the darkness was to hide the bad cgi. Overall though, do not waste your money just wait for it to hit streaming in a couple of months. It's mostly pretty boring, but do check out the soundtrack cause Halle Bailey is fantastic."
Very disappointing,1,"33 out of 37 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Quite like it,,"115 out of 556 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Brilliant adaptation of a classic,9,"All the performances were great - in particular, Halle Bailey, Melissa McCarthy, Daveed Diggs, Javier Bardem. I watched this with my family, and we all enjoyed it. It was well acted and a delight to watch.

I had recently watched the animated version of the Little mermaid at the end of last year, and I felt like ll the key tension points were in this film. Melissa made a particular fun baddy to watch, and she was definitely a sinister Ursula. Halle was an adventurous and brave Ariel - I also loved her physical acting when she had no voice. She portrayed the innocence and interest of someone learning new things really well. I thought the chemistry between her and the love lead (Jonah Hauer-King) was refreshing - it was like a best friend type of love, where they understand each other and have similar curiosities.

Daveed's Sebastian kept the humor coming, and he had me cracking up throughout this film. All in all a great adaptation.

If I had one criticism, I would have preferred to see more of Ariel's interactions with her sisters/siblings. To see how she was different or similar to them.

As an adult, I enjoyed this."
"Just, Eh.",6,"I came out of the theater just thinking, eh. Probably the most boring of all the live action remakes thus far. Felt like the actors were just reading from a script rather than true acting. Eric and King Triton were very poorly done. Mermaids tend to lean on the creepy looking side as opposed to being beautiful creatures. Most scenes were very dark and hard to see what was going on. I'm not a huge fan of all the changes made to the original story, but the most annoying change was scuttle, and the new scuttlebutt song was absolutely horrible. Melissa McCarthy was fantastic as Ursula, but they left out some of the best parts with her character."
No Disney Magic,1,"I took my children to watch this over the Memorial Day weekend on Saturday. This does not have the magic of the original Disney cartoon. The actress who played Ariel sings very well but that's about it. There was nothing really memorable about it. I could tell my children, ages 4 and 6, were not enjoying the movie because they kept fidgeting and asking to go to the restroom every 15 minutes and stared longingly at the arcade games as we were walking back. This is in stark contrast to when they are watching the original at home as they will laugh and sing along. My wife was staring at her phone and I almost fell asleep."
No Disney Magic,1,"I took my children to watch this over the Memorial Day weekend on Saturday. This does not have the magic of the original Disney cartoon. The actress who played Ariel sings very well but that's about it. There was nothing really memorable about it. I could tell my children, ages 4 and 6, were not enjoying the movie because they kept fidgeting and asking to go to the restroom every 15 minutes and stared longingly at the arcade games as we were walking back. This is in stark contrast to when they are watching the original at home as they will laugh and sing along. My wife was staring at her phone and I almost fell asleep."
I went in expecting this to be bad and was somehow still disappointed,1,"By far the absolute worst Disney live action remake that has been made. To start with, the changes that were made to where it was set and backstories of characters where just terrible and completely changed the original movie that in my opinion is fantastic. A few changes here and there are great and necessary for these kinds of films but it completely changed the dynamic of the movie and made it terrible.

I can't believe that Lin Manuel Miranda was involved in this films soundtrack as the new songs had no lyrical genius and fell flat completely.

The saving grace of this film was Ursula. I need to find out if Melissa McCarthy is okay after carrying the weight of this film on her back. The only accurate character depiction in the whole story.

How does this have a 7/10 rating? Don't waste your time."
"An Absolute Triumph, Showcasing The Beloved Tale In A Fresh And Captivating Way",10,"This mesmerizing live-action musical, starring the talented Halle Bailey, is an absolute triumph! The Little Mermaid showcases the beloved tale in a fresh and captivating way, with stunning visuals that bring the underwater world to life. The CGI is seamless, creating a truly immersive experience that surpassed my expectations.

In this adaptation of The Little Mermaid, we follow the enchanting journey of Ariel (Halle Bailey), a young mermaid who longs to explore the human world. The film stays true to the heart of the original story, emphasizing themes of self-discovery, love and the importance of staying true to oneself.

The Little Mermaid delivers exceptional performances, breathtaking visuals, and captivating storytelling. Halle Bailey performs remarkably, capturing Ariel's curiosity, spirit, and powerful voice. Casting a Black actress in the iconic role of Ariel is a decisive step toward diversifying the portrayal of princesses on screen. It offers young audiences, particularly Black girls who have rarely seen themselves in mainstream media, a chance to see a character they can deeply identify with, and I love that! The cast is rounded out with renowned actors who bring depth and charm to their respective roles. Tony winner Daveed Diggs gives a comedic, clever and heartfelt performance as Sebastian the Crab. Awkwafina's delightful portrayal of Scuttle the Seagull and Jonah Hauer-King's as Prince Eric brilliantly captures the original characters' essence while bringing their unique charm and charisma to the roles. They skillfully breathe new life into these beloved characters, adding depth and memorable moments that both longtime fans and new audiences will appreciate. The costumes, designed by Colleen Atwood, beautifully capture the underwater kingdom and the human world above. The music score by the talented duo of Oscar winner Alan Menken and Tony winner Lin-Manuel Miranda is magical, seamlessly blending Menken's enchanting melodies with Miranda's vibrant and rhythmic compositions, resulting in an unforgettable and captivating musical experience.

The Little Mermaid carries a powerful message of self-acceptance, courage and pursuing one's dreams. It promotes positive social behavior and portrays relationships built on understanding and empathy.

I give The Little Mermaid 5 out of 5 stars and recommend it for ages 5 to 12, plus adults. It releases in theaters on May 26, 2023. Immerse yourself in the enchanting world of Ariel and embark on a magical adventure! By Hanadie K., KIDS FIRST!"
The Little Mermaid,6,"""Ariel"" (Halle Bailey) has longed for a chance to meet with humans but her sagely father ""Triton"" (Javier Bardem) has prohibited this. Undeterred, she witnesses a terrible storm that washes the young prince ""Eric"" (Jonah Hauer-King) overboard. She races to his rescue and leaves him to his people on the beach - both are already in love! On hearing of her latest transgression, dad is now truly furious and loses his temper driving his daughter into the manipulative tentacles of the evil sea witch ""Ursula"" (Melissa McCarthy) who offers her a bargain - three days on land to obtain true love's kiss or a lifetime in her service. Snag? Well, she will not have her beautiful voice, she will be a mute. A combination of magic, duplicity and serendipity plays it's hand now and she ends up close to the prince, having adventures with him and falling even deeper in love - but can she get her kiss? Will the wicked ""Ursula"" let her? First things first - this isn't a patch on the 1989 version. It has a clunky, over-produced, musical theatre feel to it that consists of mediocre acting and some serious over-scoring. The delicacy and charm of the characterisations and songs has been subjected to grand orchestrations and whilst Bailey can certainly sing, the delivery is more about her ability to belt out the songs rather to than imbue them with any emotions relevant to the charm of the story. McCarthy is quite effective - if only she would stay still for five seconds and that leads to the other disappointment with this film. It works perfectly as an animation - why introduce elements of live-action to it? Neither the story nor the film benefit from the cluttering mix of CGI and real visuals. As with the recent remake of ""The Lion King"", the song lyrics, for reasons that don't seem clear to me, have been reworked - this time by the always over-rated Lin-Manuel Miranda whose ""Scuttlebutt"" song is just plain annoying. It wasn't broke - why fix it? At times there is a little engaging chemistry between Bailey and Hauer-King, but for the most part this is an unnecessary, and overly long, rehash of a fairy tale that seems to me to have been made because it could be, not because it should have been. Disappointing."
Lack of magic,4,"384 out of 498 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
The Little Mermaid ( 8.4 ),9,"The Little Mermaid of 2023 is better than the original, it has great performances, very good songs, perfect chemistry between the characters and amazing special effects, but there are two mistakes that did not make this perfect film and both revolve around the rushed length. Even though they have great chemistry and form an excellent couple, Eric and Ariel's relationship in the final act happened very fast, they are very cute together but they just met and already give up their respective worlds for a new love, their relationship happened very fast, but something that made me even more angry was the last act itself very, very rushed. Ursula is a great villain, but they wiped her out so quickly and effortlessly in one quick scene, it left me really, really disappointed. The movie is full of references and easter eggs, it was really cool to see Jodi Benson. The jokes are very funny, especially the cute trio Sebastian, Flounder and Scuttle. These three characters, as well as Eric and Grimsby are further explored and more interesting here in the film. Overall, it was a great movie and an excellent remake, all the characters in the movie have their own charm and they are all really nice, I can't decide on a favorite just like in the original movie. The performances are impeccable, especially by Halle Bailey and Melissa McCarthy. Halle was a great Ariel and didn't deserve all this hate. I hope they make a sequel because this magical world still has a lot to be explored and it should. It was great to introduce these old characters to a new generation."
"They should have done a better job, if they'd kept it exactly the same",6,"8 out of 16 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Another pointless remake that's worse than the original,1,"The latest in Disney's attempt to cash in on all their old IPs instead of making something new and originals has finally hit the screens and it's bad.

A far cry from the bright captivating colors of the original, this ocean is dark and muted. Have the animators even visited a coral reef before? Or are they just trying to hide imperfect CGI by just turning down the color and brightness? Perhaps they should watch Avatar 2 to see how to do a live action amazing underwater world right. The live action aspect actively hurts the film due to making the non-human characters unexpressive at best, uncanny valley at worst.

The run time is bloated, and although they have added some extra things in to fill the time, you kind of wish on the whole that they didn't. The rap song is particularly awful and doesn't feel like it fits at all with the rest of the music in the film.

Like many that have gone before, there's no particular reason for this live action remake to exist apart from being nostalgia bait. Give it a miss and watch the original instead. It's cheaper to watch and a much better movie."
Amazing live action adaptation with great musical and colorful visuals.,10,"5 out of 5 stars.

The Little Mermaid is an awesome musical fantasy film that lives up to the original film. The story is similiar. The musical sequences are also amazing. The cast ensemble is great. Halle Berry does a great job as Ariel which her performance is lovable and well deserved. The music is great. Sure they added some new sequences that also works with the film. The visual effects are great and colorful. The film does have some exciting action sequences that works great. This live action adaptation delivers the under the sea magic. This film is definitely worth checking out if you enjoy the original."
Mixed Bag of Good and Bad 6.5/10,6,"The Little Mermaid live-action remake is a mixed bag of good and bad. It gets off to a rough start, but ultimately, I liked the movie well enough. There were moments where I thought to myself, ""Disney can do better than this."" And then there were other moments where some of that Disney magic shined through. Let's start with the positives.

The Positives.

This is a very romantic movie. Ariel and Eric's relationship is sweet and charming, just like the characters themselves. It turns out, Halle Bailey is a fantastic Ariel. She embodies the characteristics of the beloved character. There is a sweetness, innocence, liveliness, and kindness about her that seems so natural.

Furthermore, the girl can sing. The movie already had a good soundtrack to work with, and her singing talent took that to another level. Jonah Hauer-King isn't a half bad singer himself. I loved his original song as Prince Eric. I think these live-action disney remakes are worth the time largely because of the music. The old songs are beloved, and the new songs are catchy and well-written. I wouldn't have complained if there was more music.

The Negatives It takes a little while for this movie to get out of the muck. Javier Bardem seems like he doesn't know what to do with the character of King Triton. He's so serious and his interactions with other characters are awkward. He often feels like a villain.

As for Ariel's sea creature companions, this is a Sebastian and Scuttle show. Flounder is a pointless character in this story. And even Sebastian and Scuttle, as fun as they are, take some time to get used to. Daveed Diggs does a great job with his voice acting, but it's just not Sebastian's very famous voice. I started getting used to it near the end. Speaking of very famous voices, all I could hear was Awkwafina when Scuttle talked. Sometimes a star can get in the way of their character in such a way, but she is the greatest source of humor in a movie that isn't extremely funny. Its sense of humor is cute and entertaining, but I didn't hear any bursts of laughter in the crowded theater I was in.

As for the much worried about CGI, it definitely doesn't deserve to win any awards, but it didn't distract me all that much either.

I wish this were a more consistent movie, but there is enough good to make it worth your time."
The long waiting was not worthwhile,3,"One actress is not enough to save a movie even if she plays the main character. This happens all the time and this remake is proof of it. The weakest thing in this version, of course, is the CGI characters. I thought the worst thing ever seen in these remakes was the dog from 2019's Lady and the Tramp, but this Flounder is outrageous. It's the Jar Jar Binks of Disney's remakes. And this Sebastian looks odd and graceless. Three years and Disney couldn't do any better? Are you serious? In overall, the underwater scenes are not what I expected to see and, as some critic says, ""recreated with Windows 10 screensaver graphics"".

Now let me explain what is the problem with Ursula. In an animated feature you can exaggerate the expressions any way you like but you can't do that in live action. This is not Melissa McCarthy's fault, of course, but I don't lend ears to those who praise her performance with biased reasonings. And the changes in the final scene were simply the last straw but I won't spoil anything here. Seriously, I couldn't believe it when I watched it.

In summary, the movie doesn't work because Halle Bailey is surrounded by things that don't work. And that's not Halle's fault, it's all Disney's fault."
I was excited and was left a disappointed,5,"I was looking forward to this live Disney remake.

I loved the choice of Haley Baley and Melissa McCarthy, and even Javier Bardem, but I didn't enjoy the way the story was told.

Too many unnecessary changes have been made to the story, the new songs were more annoying than inspiring, and even the classic songs have been changed. Moments that were romantic in the cartoon seemed cheesy in the live action version.

Flounder and Sebastian were a let down as well, why did they look so boring?

The cgi was nice, but very dark in many scenes. After seeing Avatar 2, I wasn't impressed by it.

Ultimately I didn't feel the magic I have felt when I watched the cartoon for the first time, and sometimes it felt like it was made for TV and not the big screen.

At the end of the day it wasn't a bad movie, but compared to the original, it was a letdown."
just admit it... this blows other remakes out the water,,"This is one of the best live action remakes, hands down. The cast was incredible and the underwater, vibrant vfx were amazing!! Watch this in a dolby theater if you can!

The premise of the little mermaid is a simple one, and if you watch disney's 1989 animated version today, you'll see that they leaned really reallyyyy heavily into fairytale tropes... the most obvious one being they myth that a fleeting, superficial attraction = true love.

I loved this 2023 remake of the little mermaid bc it strengthens this central theme of the story. Ariel doesn't fall in love w eric bc he's a hot prince. This film makes a point to develop eric's character, to present eric and ariel as complex characters: two young, brave people on the precipice of life w helicopter parents who keep thwarting their plans for adventure. Every character in this film is very well developed, even their parents.

Some of y'all just hate live action remakes, and you should just say that. We get it, animation is fun... you miss seeing magical animals w big disney eyes-it's what makes these fairytale/kids movies instant classics. But live action gives actors, animators, AND visual effects artists the range to reimagine iconic films for a new audience. I'm not a huge ""live action remake"" fan, but this one blows every other out out the water- PUN INTENDED :)"
Disney Gets One Right,8,"The CGI is amazing throughout the film. Underwater scenes are bright and exciting, as is the shipwreck.

The acting is fairly good especially.the young lady who plays the mermaid. Javier Bardem is always a pleasure. McCarthy is her usual over the top. The only clunker is the male lead who is bland.

Overall, it was a nice way to spend a little more than two hours at the movies. This is coming from someone who had held most of the live action Disney remakes as useless. This one seemed to hit all the right notes and tugs at the heartstrings at times. Why not give it a try? I can think of worse ways to while away your time."
Lacks what makes a good live action film,6,"122 out of 281 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
Just rewatch the 1989 Original,1,"131 out of 155 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
